KEY	영어	한국어	중국어(간체)
EFindBar:msgReplaceOver	Up to 100 items can be replaced at the same time.\nTo continue,\nselect Replace All.	최대 100개까지 한 번에 변경이\n가능합니다. 계속 진행하시려면\n'모두 바꾸기'를 선택해 주세요.	一次最多可替换 100 个，继续请选择\替换全部\"。"
EFindBar:placeholderFind	Find	찾기	查找
EFindBar:placeholderReplace	Replace	바꾸기	替换
EFindBar:alertProtected	Protected sheets cannot be edited.	보호된 시트는 편집할 수 없습니다.	不能编辑设置保护的电子表格！
EFindBar:alertLimitLength	Only up to 40 characters can be entered.	최대 40자 이상은 입력할 수 없습니다.	最多可输入 40 个字符
			
EFindBarForPhone:btnDone	Close	닫기	关闭
EFindBarForPhone:placeholderFind	Find	찾기	查找
EFindBarForPhone:placeholderReplace	Replace	바꾸기	替换
			
EMaskBar:btnDone	Done	완료	完成
EMaskBar:btnClose	Close	닫기	关闭
			
EHeaderFooterBar:HeaderTitle	Edit Header	머리글 편집	编辑页眉
EHeaderFooterBar:FooterTitle	Edit Footer	바닥글 편집	编辑页脚
EHeaderFooterBar:btnDone	Done	완료	完成
EHeaderFooterBar:btnCancel	Cancel	취소	取消
			
ESheetController:SuccessReCal	Recalculated.	재계산 완료	完成重新计算
ESheetController:FailReCal	Failed to recalculate.	재계산 실패	重新计算失败
ESheetController:ProtectNotEdit	Protected sheets cannot be edited.	보호된 시트는 편집할 수 없습니다.	不能编辑设置保护的电子表格！
ESheetController:PivotNotEditForPad	Sheets containing pivot tables cannot be edited or deleted.	피벗 테이블이 포함된 시트는 편집 또는 삭제할 수 없습니다.	无法编辑或删除包含数据透视表的工作表。
ESheetController:PivotNotEditForPhone	Sheets containing pivot tables\ncannot be edited or deleted.	피벗 테이블이 포함된 시트는\n편집 또는 삭제할 수 없습니다.	无法编辑或删除包含数据透视表的工作表。
ESheetController:unableInsertChartOfAreaType	2 or more areas of the same type\nare required for surface charts.	표면형 차트에는 계열이 2개 이상\n필요합니다.	曲面图需要2个以上系列。
ESheetController:allertLogForMinus	Log charts cannot display negative integers and 0 because only positive integers can be interpreted with the log markings.	로그 차트에서는 음수나 0을 정확히 나타낼 수 없습니다. 로그 눈금 간격에서는 양수만 해석되기 때문입니다.	由于对数刻度线只能解析正数，因此对数图表无法正确显示复数或 0 。
ESheetController:lblNotDrawFreezeSheet	Drawing memo is unavailable in freeze panes.	틀 고정 상태에서는 그리기 메모를\n사용 할 수 없습니다.	在冻结状态下，不能使用手绘批注。
ESheetController:restrictEdit	Editing feature is not supported on horizontal mode. Try on vertical mode.	가로모드에서는 편집을 지원하지 않습니다. 세로모드로 돌려보세요.	编辑功能不支持横向模式。尝试在垂直模式。
			
ESheetManager:toastProtect	Protect	보호	保护
ESheetManager:toastUnprotect	Cancel Protection	보호 해제	解除保护
ESheetManager:overSheetTabNameLength	Sheet's tab names cannot exceed 31 characters.	시트 탭의 이름은 31자를 넘을 수 없습니다.	工作表名称不能超过 31 个字符！
ESheetManager:emptySheetTabName	Please name the sheet tab.	시트 탭의 이름을 입력해 주세요.	请输入工作表名称
ESheetManager:specialCharacter	Special characters (\\, /, :, *, ?, \, “, <, >, and |)\ncannot be used.	특수문자 (\\ / : * ? \ “ < > |)는\n사용할 수 없습니다.	不能使用特殊字符 (\\ / : * ? \ “ < > |)！
ESheetManager:dupName	This sheet tab name already exists.	같은 이름의 시트 탭이 존재합니다.	已有同名的工作表
ESheetManager:delete	Do you want to delete?	삭제하시겠습니까?	要删除吗？
ESheetManager:btnYes	Yes	예	是
ESheetManager:btnNo	No	아니오	否
ESheetManager:UnprotectionSheet	(번)암호로 보호된 시트의 암호 해제 기능은 지원되지 않습니다.	(번)암호로 보호된 시트의 암호 해제 기능은 지원되지 않습니다.	暂不提供对加密工作表的解密功能。
			
ESheetFilterManager:WhenTryInsertCellOnFilterRange	Inserting the cells can affect the filtering area. Please cancel the filters, and then try it again.	셀 삽입 시, 필터링된 범위가 변경될 수 있습니다. \n필터를 해제한 뒤 다시 시도해주시기 바랍니다.	插入单元格时，筛选范围会被更改。请取消筛选后再插入单元格。
			
ESheetInputCtlr:cycleReferenceError	Unable to calculate exactly\nbecause the formula includes a circular reference.	수식에 순환 참조가 포함되어\n제대로 계산할 수 없습니다.	因公式中包含有循环引用，无法正常计算！
			
ESheetOption:lblTitle	Conditional Formatting	조건부 서식	条件格式
ESheetOption:btnOk	Done	완료	完成
ESheetOption:btnCancel	Cancel	취소	取消
ESheetOption:lblOrderTitle	Emphasize Cells	셀 강조	突出显示单元格
ESheetOption:lblOrderGreaterThan	Greater Than	보다 큼	大于
ESheetOption:lblOrderLessThan	Smaller Than	보다 작음	小于
ESheetOption:lblOrderEqual	Equal	같음	等于
ESheetOption:lblOrderDuplicate	Duplicate Value	중복 값	重复值
ESheetOption:lblRuleTitle	Top/Bottom Rules	상위/하위 규칙	选取规则
ESheetOption:lblRuleTop10N	Top 10 Items	상위 10개	前 10 项
ESheetOption:lblRuleTop10P	Top 10%	상위 10%	前 10%
ESheetOption:lblRuleBottom10N	Bottom 10 Items	하위 10개	最后 10 项
ESheetOption:lblRuleBottom10P	Bottom 10%	하위 10%	最后 10%
ESheetOption:lblColorTitle	Color	색조	色阶
ESheetOption:lblColorGYR	Green, Yellow Red	녹,노,빨	绿-黄-红
ESheetOption:lblColorRYG	Red, Yellow, Green	빨,노,녹	红-黄-绿
ESheetOption:lblColorWR	White, Red	흰,빨	白-红
ESheetOption:lblColorRW	Red, White	빨,흰	红-白
ESheetOption:lblIconTitle	Icons	아이콘	图标
ESheetOption:btnClear	Clear Rules	규칙 지우기	清除规则
			
ESheetDataAdjust:lblTitle	Adjust Data Range	데이터 범위 조절	调整数据范围
ESheetDataAdjust:btnCancel	Cancel	취소	取消
ESheetDataAdjust:btnConfirm	Done	완료	完成
			
EMemoManager:lblMemoTitle	Comment	메모	评论
EMemoManager:lblMemoHint	Enter a comment.	메모를 입력하세요.	请输入评论
			
EMemo:lblMemoTitle	Comment	메모	评论
EMemo:lblMemoHint	Enter a comment.	메모를 입력하세요.	请输入评论
			
EAlignSetter:lblTitle	Sort	정렬	排序
EAlignSetter:lblSub1	Alignment	맞춤	对齐
EAlignSetter:lblSub2	Order	순서	顺序
			
PopZipExtract:zipPassword1	Enter the password to extract the item.	압축 비밀번호를 입력해 주세요.	请输入压缩密码
PopZipExtract:zipPassword2	The password does not match.\nPlease try it again.?	비밀번호가 일치하지 않습니다.\n다시 시도해 주세요.	密码不一致！\n请重试。
PopZipExtract:extract	Do you want to extract?	압축을 해제 하시겠습니까?	要进行解压吗？
PopZipExtract:extract_cloud	Do you want to extract %@ zip files? \nIt will be saved in your local storage.	압축을 해제 하시겠습니까?\n압축 해제 시 로컬 스토리지에 저장 됩니다.	要解压吗？\n解压后将会保存到本地存储。
PopZipExtract:extract_temp	Do you want to extract %@ zip files? \nIt will be saved in the temporary storage.	압축을 해제 하시겠습니까?\n압축 해제 시 임시 스토리지에 저장 됩니다.	要解压吗？\n解压后将会保存到临时文件夹。
PopZipExtract:extracting	Extracting file(s)...	압축 해제 중...	正在解压文件……
PopZipExtract:equarFileOverright?	The file already exists.\nDo you want to overwrite it?	동일한 파일이 존재합니다. 덮어 쓰시겠습니까?	已有相同文件，要覆盖吗？
PopZipExtract:Cancel	Cancel	취소	取消
PopZipExtract:OK	OK	확인	确认
PopZipExtract:btnNo	No	아니오	不是
PopZipExtract:btnYes	Yes	예	是
PopZipExtract:unsupport	There is %d unsupported file(s).\n The files will not be shown in the list.	%d개의 미지원 파일이 있습니다.\n해당 파일은 목록에서 볼 수 없습니다.	有 %d 个不支持的文件！\n这些文件不会显示在列表中。
PopZipExtract:passwordPlaceholder	Enter Password	비밀번호 입력	输入密码
PopZipExtract:headtitle	Extract	압축 풀기	解压
PopZipExtract:unable	Unable to extract the item.	압축을 해제할 수 없습니다.	无法进行解压！
PopZipExtract:completionExtract	Extracted.	압축 해제 완료	已完成解压！
			
EEditController:lblZoom:MAX	Maximum	최대	最大
EEditController:lblZoom:MIN	Minimum	최소	最小
			
EInpopController:SelectAll	Select All	전체 선택	全选
EInpopController:CellSelect	Select Cells	셀 선택	选择单元格
EInpopController:Memo	Comment	메모	评论
EInpopController:MemoAdd	New comments	메모 추가	添加评论
EInpopController:MemoEdit	Show comments	메모 보기	编辑评论
EInpopController:CopyForm	Copy Format	서식 복사	复制格式
EInpopController:PasteForm	Paste Format	서식 붙여넣기	粘贴格式
EInpopController:ChangeUppercase	To uppercase	대문자로	全部大写
EInpopController:ChangeLowercase	To lowercase	소문자로	全部小写
EInpopController:AddHyperlink	Add Hyperlink	하이퍼링크 추가	添加超链接
EInpopController:EditHyperlink	Edit hyperlink	하이퍼링크 편집	编辑超链接
EInpopController:ActionHyperlink	Open hyperlink	하이퍼링크 실행	打开超链接
EInpopController:DeleteHyperlink	Delete hyperlink	하이퍼링크 삭제	删除超链接
EInpopController:AddContact	Add Contact in Polaris Office Address Book	주소록에 추가	添加到通讯录
EInpopController:Footnote	Footnote	각주	脚注
EInpopController:Endnote	Endnote	미주	尾注
EInpopController:RecommendWord	View Suggested Words	추천단어 보기	查看推荐单词
EInpopController:SearchGoogle	Search Google	구글 검색	用谷歌搜索
EInpopController:SearchWikipedia	Search Wikipedia	위키피디아 검색	用维基百科搜索
EInpopController:Dictionary	Link Dictionary	사전 연동	查找词典
EInpopController:ChangeImage	Change Image	이미지 바꾸기	更换图片
EInpopController:CutImage	Cut	자르기	裁剪
EInpopController:AdjustDataRange	Adjust Data Range	데이터 범위 조절	调整数据范围
EInpopController:DataSheet	Data Sheet	데이터 시트	数据工作表
EInpopController:AdjustColumWidth	Make column widths equal	열 너비를 같게	分布列
EInpopController:AdjustRowHeight	Make row heights equal	행 높이를 같게	分布行
EInpopController:CellInsert	Insert	삽입	插入
EInpopController:Split	Split into cells	셀 분할	拆分单元格
EInpopController:Merge	Merge cells	셀 병합	合并单元格
EInpopController:DeleteColum	Delete columns	열 삭제	删除列
EInpopController:DeleteRow	Delete rows	행 삭제	删除行
EInpopController:ColumSelect	Select columns	열 선택	选择列
EInpopController:RowSelect	Select rows	행 선택	选择行
EInpopController:AllCellSelect	Select all cells	모든 셀 선택	选择所有单元格
EInpopController:Group	Group	그룹	组合
EInpopController:ReleaseGroup	Ungroup	그룹 해제	取消组合
EInpopController:PasteValue	Paste value	값 붙여넣기	粘贴值
EInpopController:PasteFormula	Paste formula	수식 붙여넣기	粘贴公式
EInpopController:ColumInsert	Insert columns	열 삽입	插入列
EInpopController:RowInsert	Insert rows	행 삽입	插入行
EInpopController:DeleteCell	Delete cells	셀 삭제	删除单元格
EInpopController:Delete	Delete	지우기	清除
EInpopController:HideColum	Hide columns	열 숨기기	隐藏列
EInpopController:ColumWidth	Column Width	열 너비	列宽
EInpopController:ColumAutoSize	Auto-size columns	열 너비 자동 맞춤	自动调整列宽
EInpopController:HideRow	Hide rows	행 숨기기	隐藏行
EInpopController:RowHeight	Row Height	행 높이	行高
EInpopController:RowAutoSize	Auto-size rows	행 높이 자동 맞춤	自动调整行高
EInpopController:ConditionalForm	Conditional Formatting	조건부 서식	条件格式
EInpopController:UnhideColum	Show hidden columns	열 숨기기 취소	取消隐藏列
EInpopController:UnhideRow	Show hidden rows	행 숨기기 취소	取消隐藏行
EInpopController:annotDelete	Delete	삭제	删除
EInpopController:annotEdit	Edit Note	노트 편집	编辑备注
EInpopController:annotProp	Properties	속성	属性
EInpopController:annotLink	Hyperlink	하이퍼링크	超链接
EInpopController:Resize	Size	크기	大小
EInpopController:Rotate	Rotate	회전	旋转
EInpopController:ResizeNRotate	Size and Rotation	크기 및 회전	大小及旋转
EInpopController:InlineWithLine	(number) text indented	텍스트 줄 안	嵌入型
EInpopController:InlineTopBottom	(number) top/bottom	위/아래	上/下
EInpopController:InlineWithText	(number) text front	텍스트 앞	浮于文字上方
EInpopController:Bottom	(number) text back	텍스트 뒤	衬于文字下方
EInpopController:Through	(number) square	정사각형	正方形
EInpopController:SlideDuplicate	Duplicate	복제	复制
EInpopController:SlideLayout	Layout	레이아웃	布局
EInpopController:SlideChangeScreen	Rotate Screen	화면 전환	切换
EInpopController:SlideBackground	Background	배경	背景
EInpopController:SlideHide	Hide	숨기기	隐藏
EInpopController:SlideUnhide	Show hidden	숨기기 취소	取消隐藏
EInpopController:AutoCalculate	Automatic Calculation	자동연산	自动计算
EInpopController:CannotEditMergedCell	Merged cells cannot be modified separately.	병합된 셀의 일부분을 변경할 수 없습니다.	无法修改合并单元格的一部分
EInpopController:AddedContact	This contact has been added to your address book.	주소록에 추가 되었습니다.	已添加到通讯录
EInpopController:CannotAddContact	An error occurred while adding the contact to your address book.	주소록에 추가하는 중에 에러가 발생 했습니다.	添加到通讯录时，发生错误！
EInpopController:Order	Order	순서	顺序
EInpopController:Textline	Wrap Text	텍스트 줄 바꿈	文本换行
EInpopController:Align	Alignment	맞춤	排序
EInpopController:Multi	Multi Selection	다중 선택	选择题
			
EPDFController:lblHint	Enter content.	내용을 입력하세요.	请输入内容
EPDFController:lblDelNote	Do you want to delete the notes that are you are currently viewing?	현재 보고 있는 노트를 지우시겠습니까?	要删除当前查看的备注吗？
			
EPDFAnnotController:titleLB	Annotation List (%d)	주석 목록 (%d)	注释列表 (%d)
EPDFAnnotController:btnEdit	Edit	편집	编辑
EPDFAnnotController:btnDone	Close	닫기	关闭
EPDFAnnotController:btnRecycle	Delete	삭제	删除
EPDFAnnotController:btnRecycleOK	Done	완료	完成
			
EPDFDrawControllerForPhone:btnDone	Close	닫기	关闭
			
EInpopMenu:slideDelete	Delete	삭제	删除
EInpopMenu:slideCopy	Copy	복사	复制
EInpopMenu:slideCut	Cut	잘라내기	剪切
EInpopMenu:slidePaste	Paste	붙여넣기	粘贴
EInpopMenu:sheetInsert	Insert	삽입	插入
EInpopMenu:sheetCopy	Copy	복제	复制
EInpopMenu:sheetDelete	Delete	삭제	删除
EInpopMenu:sheetProtect	Protect	보호 설정	设置保护
EInpopMenu:sheetUnprotect	Unrotect	보호 해제	解除保护
			
ESlideChangeScreen:Title	Rotate Screen	화면 전환	切换
ESlideChangeScreen:lblTot	Apply to all slides	전체 슬라이드 적용	应用于全部幻灯片
ESlideChangeScreen:lblChangeTime	Switch Timing	전환 시점	切换时间
ESlideChangeScreen:lblNowChange	Switch when you tab the screen	화면을 누르면 전환	点击屏幕时切换
ESlideChangeScreen:lblDelayChange	Switch automatically after 3 seconds	3초 후 자동 전환	3 秒后自动切换
ESlideChangeScreen:lblSoft	Subtle	은은한 효과	细微效果
ESlideChangeScreen:lblFancy	Splendid Effect	화려한 효과	华丽效果
ESlideChangeScreen:lblActive	Dynamic Contents	동적 콘텐츠	动态内容
ESlideChangeScreen:lblOption	Options	옵션	可选
ESlideChangeScreen:btnClose	Close	닫기	关闭
ESlideChangeScreen:lblSoft00	None	없음	无
ESlideChangeScreen:lblSoft01	Cut	자르기	切出
ESlideChangeScreen:lblSoft02	Fade	밝기변화	淡出
ESlideChangeScreen:lblSoft03	Push	밀어내기	推进
ESlideChangeScreen:lblSoft04	Wipe	닦아내기	擦除
ESlideChangeScreen:lblSoft05	Split	나누기	分割
ESlideChangeScreen:lblSoft06	Show	나타내기	显示
ESlideChangeScreen:lblSoft07	Random Bars	실선무늬	随机线条
ESlideChangeScreen:lblSoft08	Shape	도형	形状
ESlideChangeScreen:lblSoft09	Uncover	당기기	揭开
ESlideChangeScreen:lblSoft10	Cover	덮기	覆盖
ESlideChangeScreen:lblSoft11	Flash	깜박이기	闪光
